Team,W,L
Milwaukee Bucks*,60,22
Golden State Warriors*,57,25
Toronto Raptors*,58,24
Utah Jazz*,50,32
Houston Rockets*,53,29
Portland Trail Blazers*,53,29
Denver Nuggets*,54,28
Boston Celtics*,49,33
Oklahoma City Thunder*,49,33
Indiana Pacers*,48,34
Philadelphia 76ers*,51,31
San Antonio Spurs*,48,34
Los Angeles Clippers*,48,34
Orlando Magic*,42,40
Brooklyn Nets*,42,40
Miami Heat,39,43
Detroit Pistons*,41,41
Sacramento Kings,39,43
Dallas Mavericks,33,49
Minnesota Timberwolves,36,46
New Orleans Pelicans,33,49
Charlotte Hornets,39,43
Los Angeles Lakers,37,45
Memphis Grizzlies,33,49
Washington Wizards,32,50
Atlanta Hawks,29,53
Chicago Bulls,22,60
Phoenix Suns,19,63
New York Knicks,17,65
Cleveland Cavaliers,19,63
League Average,,


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Basketball-Reference.com</a>: <a href="https://www.basketball-reference.com/leagues/NBA_2019.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#misc_stats">View Original Table</a><br>Generated 3/16/2021.